"rid","aircraft","airport","model","impact","flight_date","damage","airline","origin","flight_phase","wildlife_size","sky_conditions","pilot_warned_flag","altitude_ft","heavy_flag"
21,"Airplane","Beijing Capital","A330","None","2023-05-15 0:00","No damage","Air China","Beijing","Climb","Medium","Overcast","N",300,"No"
22,"Airplane","Indira Gandhi INTL","B777","Precautionary Landing","2023-05-15 0:00","Damage","Kingfisher Airlines","Bengaluru","Approach","Large","No Cloud","Y",2000,"Yes"
23,"Airplane","Los Angeles International","A350","None","2023-05-15 0:00","No damage","American Airlines","California","Climb","Small","Some Cloud","N",1500,"No"
24,"Airplane","Newark Liberty","B737","Engine Shut Down","2023-05-15 0:00","Damage","United Airlines","New Jersey","Approach","Medium","Overcast","Y",500,"Yes"
25,"Airplane","Amsterdam Schiphol","A320","None","2023-05-15 0:00","No damage","KLM","Netherlands","Climb","Large","No Cloud","N",300,"No"
26,"Airplane","Tallahassee Airport","B787","None","2023-05-15 0:00","No damage","Air France","France","Approach","Small","Some Cloud","Y",1500,"Yes"
27,"Airplane","Madrid Barajas","A380","Engine Shut Down","2023-05-15 0:00","Damage","Iberia","Spain","Climb","Medium","Overcast","N",2000,"No"
28,"Airplane","Rome Fiumicino","B737-800","None","2023-05-15 0:00","No damage","Alitalia","Italy","Approach","Large","No Cloud","Y",100,"Yes"
29,"Airplane","Chicago O'Hare","A320","Precautionary Landing","2023-05-15 0:00","Damage","American Airlines","Illinois","Climb","Small","Some Cloud","N",500,"No"
30,"Airplane","Dallas/Fort Worth","B747","None","2023-05-15 0:00","No damage","Delta Airlines","Texas","Approach","Medium","Overcast","Y",200,"Yes"
